Bed_Number,beds_1A,gsize_1A,amal_1A,beds_1B,gsize_1B,amal_1B,beds_1C,gsize_1C,amal_1C,beds_2A,gsize_2A,amal_2A,beds_3A,gsize_3A,amal_3A,beds_3B,gsize_3B,amal_3B,beds_4A,gsize_4A,amal_4A
166,,,,,,,,,,,,,49,4,0,,,,11,3,0
167,,,,,,,,,,,,,42,1,0,,,,4,2,0
168,,,,,,,,,,,,,10,3,0,,,,5,4,0
169,,,,,,,,,,,,,0.5,1,0,,,,8,4,0
170,,,,,,,,,,,,,9,3,0,,,,27,2,0
171,,,,,,,,,,,,,0.5,1,0,,,,7,3,0
172,,,,,,,,,,,,,31,4,0,,,,8,4,0
173,,,,,,,,,,,,,16,2,0,,,,1.5,6,0
174,,,,,,,,,,,,,39,4,1,,,,16,4,0
175,,,,,,,,,,,,,10,3,1,,,,35,4,0
176,,,,,,,,,,,,,3,5,0,,,,4,6,0
177,,,,,,,,,,,,,1,3,0,,,,2,6,0
178,,,,,,,,,,,,,2,1,0,,,,28,1,0
179,,,,,,,,,,,,,1.5,3,0,,,,13,4,0
180,,,,,,,,,,,,,2,1,0,,,,26,4,0
181,,,,,,,,,,,,,1.6,3,0,,,,13,4,0
182,,,,,,,,,,,,,2,1,0,,,,5,6,0
183,,,,,,,,,,,,,1.5,3,0,,,,21,1,0
184,,,,,,,,,,,,,2,1,0,,,,20,2,0
185,,,,,,,,,,,,,1.6,3,0,,,,6,4,0
186,,,,,,,,,,,,,1,1,0,,,,22,2,0
187,,,,,,,,,,,,,1.1,3,0,,,,1,4,0
188,,,,,,,,,,,,,3,1,0,,,,12,2,0
189,,,,,,,,,,,,,15,4,0,,,,2,6,0
190,,,,,,,,,,,,,8,1,0,,,,17,2,0
191,,,,,,,,,,,,,5,3,0,,,,15,5,0
192,,,,,,,,,,,,,7,1,0,,,,1,6,0
193,,,,,,,,,,,,,7,3,0,,,,8,4,0
194,,,,,,,,,,,,,20,1,0,,,,4,7,0
195,,,,,,,,,,,,,26,3,0,,,,34,2,0
196,,,,,,,,,,,,,7,1,0,,,,39,4,0
197,,,,,,,,,,,,,14,3,0,,,,1,6,0
198,,,,,,,,,,,,,3,1,0,,,,20,4,0
199,,,,,,,,,,,,,15,3,1,,,,1,6,0
200,,,,,,,,,,,,,11,3,1,,,,42,4,0
201,,,,,,,,,,,,,57,2,0,,,,3,6,0
202,,,,,,,,,,,,,3,5,0,,,,5,6,0
203,,,,,,,,,,,,,3,1,0,,,,4,6,0
204,,,,,,,,,,,,,0.5,4,0,,,,125,2,0
205,,,,,,,,,,,,,2,1,0,,,,15,4,0
206,,,,,,,,,,,,,0.5,4,0,,,,30,4,0
207,,,,,,,,,,,,,2,1,0,,,,0.5,6,0
208,,,,,,,,,,,,,0.5,4,0,,,,12,4,0
209,,,,,,,,,,,,,4,1,0,,,,0.5,6,0
210,,,,,,,,,,,,,2.5,4,0,,,,70,10,0
211,,,,,,,,,,,,,1,1,0,,,,7,3,0
